District Code,District Name English,District Name Tamil,Collector Office,Agriculture Office,Major Crops,Average Rainfall (mm),Soil Types,Climate Zone
"TN-TNJ","Thanjavur","தஞ்சாவூர்","Collectorate, Court Road, Thanjavur - 613001","JDA Office, Collectorate Campus, Thanjavur","Paddy (Rice Bowl of TN), Coconut, Pulses, Sugarcane, Banana","1125","Deltaic Alluvium, Red Soil","Cauvery Delta Agro-Climatic Zone"
"TN-THN","Theni","தேனி","Collectorate, Collectorate Campus, Theni - 625531","JDA Office, Collectorate Annexe, Theni","Banana, Grape, Cardamom, Cotton, Paddy","845","Red Loam, Black Soil","Southern Agro-Climatic Zone"
"TN-TVR","Thiruvarur","திருவாரூர்","Collectorate, Master Plan Complex, Thiruvarur - 610004","JDA Office, Collectorate Campus, Thiruvarur","Paddy, Pulses, Cotton, Coconut","1260","Deltaic Alluvium","Cauvery Delta Agro-Climatic Zone"
"TN-TNM","Thiruvannamalai","திருவண்ணாமலை","Collectorate, Vengikkal, Thiruvannamalai - 606604","JDA Office, Vengikkal, Thiruvannamalai","Groundnut, Paddy, Sugarcane, Banana, Flower","1060","Red Soil, Sandy Loam","North Eastern Agro-Climatic Zone"
"TN-TKD","Thoothukudi","தூத்துக்குடி","Collectorate, Korampallam, Thoothukudi - 628101","JDA Office, Korampallam, Thoothukudi","Chilli, Cotton, Onion, Banana, Pulses","660","Black Soil, Coastal Sand","Southern Agro-Climatic Zone"
"TN-TPR","Tiruchirapalli","திருச்சிராப்பள்ளி","Collectorate, Cantonment, Tiruchirapalli - 620001","JDA Office, Collectorate Campus, Trichy","Banana, Paddy, Onion, Cotton, Sugarcane","818","Alluvial, Red Soil","Cauvery Delta Agro-Climatic Zone"
"TN-TNL","Tirunelveli","திருநெல்வேலி","Collectorate, Kokkirakulam, Tirunelveli - 627009","JDA Office, Kokkirakulam, Tirunelveli","Paddy, Banana, Cotton, Chilli, Coconut","880","Alluvial, Black Soil","Southern Agro-Climatic Zone"
"TN-TPT","Tirupattur","திருப்பத்தூர்","Collectorate, Tirupattur - 635601","JDA Office, Collectorate Campus, Tirupattur","Paddy, Sugarcane, Mango, Groundnut","960","Red Soil, Clay Loam","North Eastern Agro-Climatic Zone"
"TN-TPU","Tiruppur","திருப்பூர்","Collectorate, Palladam Road, Tiruppur - 641604","JDA Office, Collectorate Campus, Tiruppur","Cotton, Maize, Coconut, Groundnut, Banana","615","Red Soil, Black Soil","Western Agro-Climatic Zone"
"TN-TVL","Tiruvallur","திருவள்ளூர்","Collectorate, Tiruvallur - 602001","JDA Office, Collectorate Campus, Tiruvallur","Paddy, Sugarcane, Mango, Vegetables","1104","Clay Loam, Sandy Soil","North Eastern Agro-Climatic Zone"
"TN-VLR","Vellore","வேலூர்","Collectorate, Sathuvachari, Vellore - 632009","JDA Office, Sathuvachari, Vellore","Groundnut, Sugarcane, Paddy, Banana","990","Red Loam, Clay Soil","North Eastern Agro-Climatic Zone"
"TN-VPM","Villupuram","விழுப்புரம்","Collectorate, Master Plan Complex, Villupuram - 605602","JDA Office, Collectorate Campus, Villupuram","Paddy, Sugarcane, Groundnut, Cotton, Tapioca","1045","Red Soil, Clay Loam","North Eastern Agro-Climatic Zone"
"TN-VNR","Virudhunagar","விருதுநகர்","Collectorate, Collectorate Complex, Virudhunagar - 626002","JDA Office, Collectorate Campus, Virudhunagar","Cotton, Chilli, Maize, Pulses, Oilseeds","810","Black Cotton Soil, Red Soil","Southern Agro-Climatic Zone"
